CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
9236	13364	-14.016	9236	0.7802	9236.0	14	methanol (-H2O):CH2
8797	11497	-12.000	8797	0.8451	8797.0	14	C
12737	12776	-44.026	12737	0.9919	12737.0	15	H2N3:C2H4O
11765	12776	30.010	11765	0.9954	11765.0	15	CH2O
11765	12737	74.036	11765	0.992	11765.0	15	CH4N3O:C3H6O2
10930	11765	-31.042	10930	0.9954	10930.0	15	CH5N
10930	12776	-1.032	10930	0.9867	10930.0	15	 
12753	14522	-56.063	12753	0.9567	12753.0	16	C4H8
13942	14522	-28.031	13942	0.9148	13942.0	16	C2H4
3875	4683	-0.036	3875	0.882	3875.0	17	 
271	4683	-0.036	271	0.8228	271.0	17	 
1242	4683	0.000	1242	0.888	1242.0	17	 
954	5755	0.000	954	0.8496	954.0	17	 
2963	3875	0.000	2963	0.8252	2963.0	17	 
954	2004	-0.036	954	0.8608	954.0	17	 
3875	5755	0.000	3875	0.8561	3875.0	17	 
954	3875	0.000	954	0.942	954.0	17	 
2004	3875	0.036	2004	0.8688	2004.0	17	 
271	2004	-0.036	271	0.8592	271.0	17	 
446	4683	-0.036	446	0.8669	446.0	17	 
3875	4509	-0.015	3875	0.8206	3875.0	17	 
1532	4509	0.021	1532	0.868	1532.0	17	 
4509	4683	-0.021	4509	0.8979	4509.0	17	 
4683	5755	0.036	4683	0.8498	4683.0	17	 
9409	11690	0.000	9409	0.9477	9409.0	18	 
11553	11690	0.984	11553	0.9122	11553.0	18	NH3<->OH
8227	10298	0.000	8227	0.9017	8227.0	18	 
8227	10432	0.000	8227	0.9588	8227.0	18	 
9113	9121	18.011	9113	0.9295	9113.0	18	H2O
9121	10432	-14.016	9121	0.9655	9121.0	18	methanol (-H2O):CH2
10298	10432	0.000	10298	0.9134	10298.0	18	 
8227	9121	14.016	8227	0.925	8227.0	18	methanol (-H2O):CH2
8227	11553	-28.031	8227	0.9264	8227.0	18	C2H4
3665	5483	-100.052	3665	0.7499	3665.0	21	 
1120	1387	-30.011	1120	0.8754	1120.0	22	CH2O
4821	6813	-0.057	4821	0.7493	4821.0	22	 
3250	4316	-26.016	3250	0.7572	3250.0	22	C2H2
2782	2789	-167.080	2782	0.8723	2782.0	22	 
3221	3250	36.022	3221	0.9302	3221.0	22	 
4407	6813	-14.037	4407	0.8765	4407.0	22	 
3243	3250	18.011	3243	0.8555	3243.0	22	H2O
968	1948	-74.036	968	0.828	968.0	22	CH4N3O:C3H6O2
3415	3623	0.000	3415	0.9396	3415.0	22	 
2789	3055	132.043	2789	0.936	2789.0	22	C5H8O4_D-Ribose (-H2O) (ribosylation):C16H30O_palmitoylation (-H2O):C5H8O4
3431	3623	18.011	3431	0.8969	3431.0	22	H2O
2177	2183	-18.012	2177	0.7971	2177.0	22	H2O
2478	2481	-18.011	2478	0.7598	2478.0	22	H2O
1317	1948	-30.010	1317	0.8067	1317.0	22	CH2O
3250	4156	-0.000	3250	0.969	3250.0	22	 
3250	3415	-15.995	3250	0.7387	3250.0	22	O
6623	6813	-14.037	6623	0.8743	6623.0	22	 
3250	3431	-34.006	3250	0.7668	3250.0	22	O2H2:H2O2
4156	4159	-18.011	4156	0.8231	4156.0	22	H2O
3250	6623	-2.016	3250	0.855	3250.0	22	H2
1883	3623	0.000	1883	0.7696	1883.0	22	 
3243	6623	15.995	3243	0.9006	3243.0	22	O
2717	3547	-0.000	2717	0.9805	2717.0	22	 
4818	4821	18.010	4818	0.8381	4818.0	22	H2O
3431	3456	-179.079	3431	0.9069	3431.0	22	 
2774	2782	18.010	2774	0.9656	2774.0	22	H2O
3250	4407	-2.016	3250	0.8667	3250.0	22	H2
3623	4156	15.995	3623	0.7365	3623.0	22	O
3243	3431	-15.995	3243	0.835	3243.0	22	O
2789	3048	167.080	2789	0.8888	2789.0	22	 
1317	2717	-70.021	1317	0.7245	1317.0	22	 
1120	1948	-30.011	1120	0.8659	1120.0	22	CH2O
3431	6623	31.990	3431	0.8053	3431.0	22	O2
4407	6820	-13.979	4407	0.9104	4407.0	22	 
3456	3623	197.090	3456	0.8361	3456.0	22	 
1883	2481	0.000	1883	0.8893	1883.0	22	 
1120	1317	-0.000	1120	0.9154	1120.0	22	 
